field_1,lfenzid,lake_name,site,indicator,indicator_name,measurement,value,units,tli_band,nof_band,max_nof_band,national_bottom_line,max_national_bottom_line,lake_category,lake_type,lake_volume,nzsegment,lat,long,region,depth_bin,human_modified,period,n_leftcensored,n_rightcensored,dl,al,imputed_lower,imputed_upper,n_values,n_month,n_qtr,n_years,filter_ok,incl_ineq
1,-16,Lake Opuha,LAWA-101983,CHLA,Chlorophyll-a,5th,1.475,mg/m3,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,1.475
2,-16,Lake Opuha,LAWA-101983,CHLA,Chlorophyll-a,20th,3.05,mg/m3,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,3.05
3,-16,Lake Opuha,LAWA-101983,CHLA,Chlorophyll-a,25th,3.35,mg/m3,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,3.35
4,-16,Lake Opuha,LAWA-101983,CHLA,Chlorophyll-a,Median,6.2,mg/m3,NA,C,C,FALSE,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,6.2
5,-16,Lake Opuha,LAWA-101983,CHLA,Chlorophyll-a,75th,8.025,mg/m3,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,8.025
6,-16,Lake Opuha,LAWA-101983,CHLA,Chlorophyll-a,80th,8.35,mg/m3,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,8.35
7,-16,Lake Opuha,LAWA-101983,CHLA,Chlorophyll-a,95th,11.975,mg/m3,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,11.975
8,-16,Lake Opuha,LAWA-101983,CHLA,Chlorophyll-a,Annual maximum,13.7,mg/m3,NA,B,C,FALSE,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,13.7
9,-16,Lake Opuha,LAWA-101983,TLI3,Trophic level index 3,5th,3.28846,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,3.28846
10,-16,Lake Opuha,LAWA-101983,TLI3,Trophic level index 3,20th,3.54119,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,3.54119
11,-16,Lake Opuha,LAWA-101983,TLI3,Trophic level index 3,25th,3.64137,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,3.64137
12,-16,Lake Opuha,LAWA-101983,TLI3,Trophic level index 3,Median,3.79262,NA,Mesotrophic (average),NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,3.79262
13,-16,Lake Opuha,LAWA-101983,TLI3,Trophic level index 3,75th,3.98047,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,3.98047
14,-16,Lake Opuha,LAWA-101983,TLI3,Trophic level index 3,80th,4.01359,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,4.01359
15,-16,Lake Opuha,LAWA-101983,TLI3,Trophic level index 3,95th,4.20343,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,4.20343
16,-16,Lake Opuha,LAWA-101983,TLI3,Trophic level index 3,Annual maximum,4.296084259,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,4.296084259
17,-16,Lake Opuha,LAWA-101983,TN,Total nitrogen,5th,0.21,mg/L,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.21
18,-16,Lake Opuha,LAWA-101983,TN,Total nitrogen,20th,0.25,mg/L,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.25
19,-16,Lake Opuha,LAWA-101983,TN,Total nitrogen,25th,0.26,mg/L,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.26
20,-16,Lake Opuha,LAWA-101983,TN,Total nitrogen,Median,0.36,mg/L,NA,C,C,FALSE,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.36
21,-16,Lake Opuha,LAWA-101983,TN,Total nitrogen,75th,0.445,mg/L,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.445
22,-16,Lake Opuha,LAWA-101983,TN,Total nitrogen,80th,0.48,mg/L,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.48
23,-16,Lake Opuha,LAWA-101983,TN,Total nitrogen,95th,0.66,mg/L,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.66
24,-16,Lake Opuha,LAWA-101983,TN,Total nitrogen,Annual maximum,0.84,mg/L,NA,NA,C,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.84
25,-16,Lake Opuha,LAWA-101983,TP,Total phosphorus,5th,0.00475,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.00475
26,-16,Lake Opuha,LAWA-101983,TP,Total phosphorus,20th,0.0085,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.0085
27,-16,Lake Opuha,LAWA-101983,TP,Total phosphorus,25th,0.00975,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.00975
28,-16,Lake Opuha,LAWA-101983,TP,Total phosphorus,Median,0.012,mg/L,NA,B,B,FALSE,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.012
29,-16,Lake Opuha,LAWA-101983,TP,Total phosphorus,75th,0.0135,mg/L,NA,NA,B,NA,FALSE,Seasonally stratified and brackish,Stratified,NA,13153653,-43.99632854,170.8872588,Canterbury,15-50 m,NA,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,25,25,14,5,FALSE,0.0135
